DataPro Export File
Copyright (c) Stack Limited 2002

Track : SILTST1
Session  : 121029
Run : 002
Creation Date : Monday  October 29 2012 17:37:05

Data Range : 00:00:00.000 -> 00:00:36.500 (Complete Run)
Data Exported : Tuesday October 30 2012 13:33:45

UTC_YEAR,UTC_MONT,UTC_DAY,UTC_HOUR,UTC_MIN,UTC_MS,UTC_VLD,LATITUDE,LONGITUD,POS_VLD,V_NORTH,V_EAST,V_VLD,A_NORTH,A_EAST,A_Z,AZIMUTH,AZIM_VLD,MFL,VL_FR,VL_RL,VL_RR,VL_FL,LL_FR,LL_RL,LL_RR,LL_FL,DM_LOAD1,DM_LOAD2,DM_DISP,DM_VEL,VL_FR_VD,VL_RL_VD,VL_RR_VD,VL_FL_VD,LL_FR_VD,LL_RL_VD,LL_RR_VD,LL_FL_VD,DM_L1_VD,DM_L2_VD,DM_STAT,GT1_POS,GT2_POS,CLP_GT_P,CLP_GT_B,AC_TYPE,AC_TP_VD,AC_WEIGT,AC_WT_VD,AC_CG,AC_CG_VD,MISSN_ID,MISSN_TP,AC_TL_NO,CEL_IP1,CEL_IP2,CEL_IP3,CEL_IP4,FLT_NO1,FLT_NO2,FLT_NO3,FLT_NO4,FLT_NO5,FLT_NO6,FLT_NO7,FLT_NO8,WM_FR_AN,WM_FL_AN,WM_RR_AN,WM_RL_AN,WM_FR_VD,WM_FL_VD,WM_RR_VD,WM_RL_VD,PLT_AN_C,PLT_AN_V,DRIV_MOD,WL_SPEED,DSRD_SPD,WL_SPD_V,NLG_ST_A,NLG_ST_V,TRT_ANGL,TRT_AN_V,NLG_LN_F,NLG_LN_V,TRCN_DMD,PLT_BR_U,PLT_BR_F,PLT_BR_G
Num,Num,Num,Num,Num,Num,enum,Deg,Deg,Boolean,m/s,m/s,Boolean,m/s²,m/s2,m/s2,deg,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,enum,enum,%,Bars,enum,Boolean,ton,Boolean,%,Boolean,num,enum,char,num,num,num,num,char,char,char,char,char,char,char,char,deg,deg,deg,deg,Boolean,Boolean,Boolean,Boolean,deg,enum,enum,kts,knot,Boolean,deg,enum,deg,enum,kN,enum,kN,Boolean,Boolean,G
2013,06,27,21,22,38959,1,-560,-511,0,-415,485,0,-993,-349,-52,-884,1,9UI,ieM,O2G,kla,lIw,KRG,yD6,dqw,n2F,2S5,bE4,AEH,hNG,GBZ,pGW,a3X,4UF,Wgj,CJQ,Wh5,tze,yWh,0uJ,AZU,2,3,94,223,165,0,112,1,77,0,852,1,70,33,10,174,188,169,164,98,181,187,235,247,132,-47,19,90,90,1,1,1,1,3,1,8,-34,4,1,-106,1,110,0,-4,2,-41,1,1,-1
2013,06,27,10,3,47052,0,68,-128,1,-636,-501,1,-792,-639,-65,-892,0,lSu,qYQ,nLa,w8L,z39,oqp,Ts4,AHZ,94U,cF7,o4k,VeD,R9x,2m1,Li7,pUn,3Uy,J0F,oZJ,yg0,NF6,EpJ,Hhw,NeS,0,3,17,16,215,1,358,1,69,1,852,1,57,98,218,130,224,49,233,204,201,172,55,154,171,80,-37,-27,91,1,0,1,1,-86,0,11,-50,39,0,65,0,-166,0,2,1,152,0,0,-1
2013,06,27,2,6,52567,2,-653,-451,0,-677,176,1,-818,-581,-92,-839,0,BM9,hqs,FtA,lM6,zTO,Z4W,W0C,UP5,qAf,0vq,S61,EsA,roK,dpu,cLh,UzB,MTn,PqQ,OQt,Z6c,MPE,H5W,0L1,wUC,1,3,52,96,11,0,346,0,19,0,852,2,253,153,52,13,188,86,139,117,129,95,122,111,105,-41,54,1,39,0,0,0,0,-84,1,12,-28,45,0,-59,0,97,1,-5,1,193,0,0,-1
2013,06,27,16,33,50265,0,-955,-693,0,-495,-956,1,-964,-841,-21,-615,1,yBf,52c,kif,CDp,Qk3,Wb1,dfL,R76,MNZ,PmR,iXF,MiR,8kK,P9z,fMw,scH,XLS,MIm,rvJ,G96,lkR,HxX,MJ3,X7p,2,3,98,208,119,1,123,1,83,1,852,1,7,115,241,74,140,146,109,125,245,128,236,212,26,-90,50,-54,74,1,0,1,0,-88,1,3,13,18,0,-89,0,-107,0,-3,1,-55,1,0,1
2013,06,27,22,41,54634,1,-324,-143,1,11,-288,1,-404,-837,-72,-635,1,PFU,jEg,dXW,13T,UD8,U1M,CLI,Rjc,BFt,oRD,yCd,bck,Ll4,H8m,TRF,2Lk,iEr,91B,6i3,6Ci,eEi,m0y,4Xf,md8,3,3,56,216,203,1,205,1,86,0,852,1,231,136,185,248,0,9,232,8,4,186,161,166,127,92,-39,-6,7,1,0,1,1,-62,0,6,-45,50,1,26,1,-120,1,3,2,79,1,1,1
2013,06,27,15,44,46002,1,-593,-522,1,-502,66,0,-45,-601,27,-433,1,9E8,P6R,ufq,zh5,jgI,9v7,NVn,N2r,bzt,zSM,Bif,kLB,uaP,DTQ,SyL,0iE,HAG,2I5,riM,xSa,h63,rmT,De3,zJV,0,1,39,190,189,0,447,0,19,0,852,3,102,133,41,142,118,161,160,215,107,190,196,71,10,99,-57,28,84,0,1,1,1,-96,0,4,37,16,1,-127,1,-64,1,5,2,196,0,0,0
2013,06,27,2,8,2233,2,-2,-627,1,362,-200,1,-92,-13,-59,-352,0,wAL,J05,q23,nTl,XhR,L1d,cfq,Mni,GNA,kgi,J4O,ZJz,Kt6,ZpX,vlD,FX8,gnG,OfP,pt9,XZB,Uhb,0By,PMz,geU,2,2,38,179,95,0,153,1,36,0,852,2,66,105,59,224,137,58,133,29,134,116,175,8,103,6,34,-63,-51,1,1,0,0,-72,1,1,10,9,0,-94,1,94,1,3,0,-183,1,1,-1
2013,06,27,4,49,48499,1,-442,-23,0,-934,-257,0,-679,-733,65,-101,1,SoA,Rqs,1UY,G0r,gT8,SgV,9jK,qn7,xGo,ft5,tGb,uLy,9md,OBk,IGZ,GyX,spC,Y4n,Ko6,EjS,mTY,HNk,vY5,Yr4,1,3,11,191,182,1,390,0,45,1,852,0,252,192,234,200,121,17,236,54,119,226,119,169,195,12,-85,69,72,1,0,0,0,-125,0,12,23,8,0,70,1,-91,1,1,0,98,0,0,1
2013,06,27,7,41,17163,0,-830,114,1,76,-969,1,-365,-175,-90,126,1,Mez,kO2,2kv,c28,1KQ,GmA,DY2,5v8,yl5,YTX,ETt,9Xd,Z9p,X2N,xen,XFs,MeH,Ig2,mtp,mNc,qep,T9K,4vC,n48,1,0,38,90,84,0,234,1,96,0,852,2,60,128,157,204,94,148,253,199,138,159,120,36,254,32,-1,-21,54,0,0,1,0,16,0,12,40,19,0,50,0,-108,0,1,2,169,0,0,0
